No.;Time;;time 1;time 2;delay;;delay 1;delay 2;jitter
4189;12,978076;;12,978076;13,038351;0,060275;;-0,2634;0,253523;0,516923
4218;13,038351;;13,038351;13,362026;0,323675;;0,253523;-0,537198;-0,790721
4314;13,362026;;13,362026;13,432178;0,070152;;-0,537198;0,542593;1,079791
4343;13,432178;;13,432178;14,039528;0,60735;;0,542593;-0,486861;-1,029454
4536;14,039528;;14,039528;14,104285;0,064757;;-0,486861;0,46422;0,951081
4556;14,104285;;14,104285;14,655903;0,551618;;0,46422;0,041462;-0,422758
4737;14,655903;;14,655903;14,743301;0,087398;;0,041462;0,045936;0,004474
4767;14,743301;;14,743301;14,789237;0,045936;;0,045936;-4E-05;-0,045976
4789;14,789237;;14,789237;14,789237;0;;-4E-05;-0,577211;-0,577171
4790;14,789237;;14,789237;14,789277;4E-05;;-0,577211;0,577165;1,154376
4791;14,789277;;14,789277;15,366528;0,577251;;0,577165;-0,45739;-1,034555
4945;15,366528;;15,366528;15,366614;8,6E-05;;-0,45739;0,457434;0,914824
4946;15,366614;;15,366614;15,82409;0,457476;;0,457434;-1,099774;-1,557208
5096;15,82409;;15,82409;15,824132;4,2E-05;;-1,099774;1,031401;2,131175
5097;15,824132;;15,824132;16,923948;1,099816;;1,031401;-3,221418;-4,252819
5521;16,923948;;16,923948;16,992363;0,068415;;-3,221418;3,281883;6,503301
5552;16,992363;;16,992363;20,282196;3,289833;;3,281883;-0,039829;-3,321712
6425;20,282196;;20,282196;20,290146;0,00795;;-0,039829;0,035802;0,075631
6426;20,290146;;20,290146;20,337925;0,047779;;0,035802;-0,120171;-0,155973
6430;20,337925;;20,337925;20,349902;0,011977;;-0,120171;0,017258;0,137429
6431;20,349902;;20,349902;20,48205;0,132148;;0,017258;-10,534589;-10,551847
6448;20,48205;;20,48205;20,59694;0,11489;;-10,534589;9,651929;20,186518
6513;20,59694;;20,59694;31,246419;10,649479;;9,651929;-1,014372;-10,666301
9566;31,246419;;31,246419;32,243969;0,99755;;-1,014372;-1,034417;-0,020045
9867;32,243969;;32,243969;34,255891;2,011922;;-1,034417;3,038805;4,073222
10514;34,255891;;34,255891;37,30223;3,046339;;3,038805;0,007002;-3,031803
10966;37,30223;;37,30223;37,309764;0,007534;;0,007002;-0,087916;-0,094918
10967;37,309764;;37,309764;37,310296;0,000532;;-0,087916;0,088448;0,176364
10968;37,310296;;37,310296;37,398744;0,088448;;0,088448;-9,3E-05;-0,088541
10969;37,398744;;37,398744;37,398744;0;;-9,3E-05;3E-05;0,000123
10970;37,398744;;37,398744;37,398837;9,3E-05;;3E-05;1,7E-05;-1,3E-05
10971;37,398837;;37,398837;37,3989;6,3E-05;;1,7E-05;-0,096981;-0,096998
10972;37,3989;;37,3989;37,398946;4,6E-05;;-0,096981;0,090472;0,187453
10973;37,398946;;37,398946;37,495973;0,097027;;0,090472;-0,000247;-0,090719
10974;37,495973;;37,495973;37,502528;0,006555;;-0,000247;-0,041637;-0,04139
10975;37,502528;;37,502528;37,50933;0,006802;;-0,041637;0,018875;0,060512
10976;37,50933;;37,50933;37,557769;0,048439;;0,018875;0,029474;0,010599
10977;37,557769;;37,557769;37,587333;0,029564;;0,029474;-9,9E-05;-0,029573
10978;37,587333;;37,587333;37,587423;9E-05;;-9,9E-05;-0,059713;-0,059614
10979;37,587423;;37,587423;37,587612;0,000189;;-0,059713;0,04812;0,107833
10980;37,587612;;37,587612;37,647514;0,059902;;0,04812;0,003271;-0,044849
10981;37,647514;;37,647514;37,659296;0,011782;;0,003271;0,007935;0,004664
10982;37,659296;;37,659296;37,667807;0,008511;;0,007935;-0,044984;-0,052919
10983;37,667807;;37,667807;37,668383;0,000576;;-0,044984;0,036261;0,081245
10984;37,668383;;37,668383;37,713943;0,04556;;0,036261;0,00922;-0,027041
10985;37,713943;;37,713943;37,723242;0,009299;;0,00922;-8,6E-05;-0,009306
10986;37,723242;;37,723242;37,723321;7,9E-05;;-8,6E-05;-0,045068;-0,044982
10987;37,723321;;37,723321;37,723486;0,000165;;-0,045068;0,0452;0,090268
10988;37,723486;;37,723486;37,768719;0,045233;;0,0452;-0,03263;-0,07783
10989;37,768719;;37,768719;37,768752;3,3E-05;;-0,03263;0,031087;0,063717
10990;37,768752;;37,768752;37,801415;0,032663;;0,031087;-0,039971;-0,071058
10991;37,801415;;37,801415;37,802991;0,001576;;-0,039971;0,028021;0,067992
10992;37,802991;;37,802991;37,844538;0,041547;;0,028021;-0,044384;-0,072405
10994;37,844538;;37,844538;37,858064;0,013526;;-0,044384;0,0578;0,102184
10996;37,858064;;37,858064;37,915974;0,05791;;0,0578;-0,000103;-0,057903
10997;37,915974;;37,915974;37,916084;0,00011;;-0,000103;-0,016402;-0,016299
10998;37,916084;;37,916084;37,916297;0,000213;;-0,016402;0,016587;0,032989
10999;37,916297;;37,916297;37,932912;0,016615;;0,016587;-0,023711;-0,040298
11000;37,932912;;37,932912;37,93294;2,8E-05;;-0,023711;0,01693;0,040641
11001;37,93294;;37,93294;37,956679;0,023739;;0,01693;-0,003831;-0,020761
11002;37,956679;;37,956679;37,963488;0,006809;;-0,003831;-0,028867;-0,025036
11003;37,963488;;37,963488;37,974128;0,01064;;-0,028867;0,030562;0,059429
11004;37,974128;;37,974128;38,013635;0,039507;;0,030562;0,008894;-0,021668
11006;38,013635;;38,013635;38,02258;0,008945;;0,008894;-0,007059;-0,015953
11007;38,02258;;38,02258;38,022631;5,1E-05;;-0,007059;-0,051752;-0,044693
11008;38,022631;;38,022631;38,029741;0,00711;;-0,051752;0,058783;0,110535
11010;38,029741;;38,029741;38,088603;0,058862;;0,058783;-8,6E-05;-0,058869
11011;38,088603;;38,088603;38,088682;7,9E-05;;-8,6E-05;-0,068255;-0,068169
11012;38,088682;;38,088682;38,088847;0,000165;;-0,068255;0,061846;0,130101
11013;38,088847;;38,088847;38,157267;0,06842;;0,061846;-0,001714;-0,06356
11014;38,157267;;38,157267;38,163841;0,006574;;-0,001714;-0,034186;-0,032472
11015;38,163841;;38,163841;38,172129;0,008288;;-0,034186;0,042391;0,076577
11016;38,172129;;38,172129;38,214603;0,042474;;0,042391;-9,1E-05;-0,042482
11017;38,214603;;38,214603;38,214686;8,3E-05;;-9,1E-05;-0,00298;-0,002889
11018;38,214686;;38,214686;38,21486;0,000174;;-0,00298;-0,009478;-0,006498
11019;38,21486;;38,21486;38,218014;0,003154;;-0,009478;0,012603;0,022081
11020;38,218014;;38,218014;38,230646;0,012632;;0,012603;-0,011291;-0,023894
11021;38,230646;;38,230646;38,230675;2,9E-05;;-0,011291;-0,012423;-0,001132
11022;38,230675;;38,230675;38,241995;0,01132;;-0,012423;0,023743;0,036166
11023;38,241995;;38,241995;38,265738;0,023743;;0,023743;-0,047922;-0,071665
11024;38,265738;;38,265738;38,265738;0;;-0,047922;-4,901431;-4,853509
11025;38,265738;;38,265738;38,31366;0,047922;;-4,901431;3,411163;8,312594
11026;38,31366;;38,31366;43,263013;4,949353;;3,411163;1,081159;-2,330004
11037;43,263013;;43,263013;44,801203;1,53819;;1,081159;0,057983;-1,023176
11038;44,801203;;44,801203;45,258234;0,457031;;0,057983;0,194952;0,136969
11041;45,258234;;45,258234;45,657282;0,399048;;0,194952;-0,201472;-0,396424
11042;45,657282;;45,657282;45,861378;0,204096;;-0,201472;-0,816207;-0,614735
11043;45,861378;;45,861378;46,266946;0,405568;;-0,816207;1,020428;1,836635
11044;46,266946;;46,266946;47,488721;1,221775;;1,020428;-1,812036;-2,832464
11045;47,488721;;47,488721;47,690068;0,201347;;-1,812036;0,653786;2,465822
11046;47,690068;;47,690068;49,703451;2,013383;;0,653786;0,794595;0,140809
11047;49,703451;;49,703451;51,063048;1,359597;;0,794595;0,442077;-0,352518
11048;51,063048;;51,063048;51,62805;0,565002;;0,442077;-0,229977;-0,672054
11049;51,62805;;51,62805;51,750975;0,122925;;-0,229977;-1,405694;-1,175717
11050;51,750975;;51,750975;52,103877;0,352902;;-1,405694;1,614872;3,020566
