No.;Time;;time 1;time 2;delay;;delay 1;delay 2;jitter
27183;111,683021;;111,683021;111,88957;0,206549;;0,206549;0;-0,206549
27252;111,88957;;111,88957;111,88957;0;;0;-4,6E-05;-4,6E-05
27253;111,88957;;111,88957;111,88957;0;;-4,6E-05;6E-06;5,2E-05
27254;111,88957;;111,88957;111,889616;4,6E-05;;6E-06;2,4E-05;1,8E-05
27255;111,889616;;111,889616;111,889656;4E-05;;2,4E-05;-0,000351;-0,000375
27256;111,889656;;111,889656;111,889672;1,6E-05;;-0,000351;0,000366;0,000717
27257;111,889672;;111,889672;111,890039;0,000367;;0,000366;-3,6E-05;-0,000402
27258;111,890039;;111,890039;111,89004;1E-06;;-3,6E-05;-0,000162;-0,000126
27259;111,89004;;111,89004;111,890077;3,7E-05;;-0,000162;0,000163;0,000325
27260;111,890077;;111,890077;111,890276;0,000199;;0,000163;-0,00025;-0,000413
27261;111,890276;;111,890276;111,890312;3,6E-05;;-0,00025;-0,005186;-0,004936
27262;111,890312;;111,890312;111,890598;0,000286;;-0,005186;0,005415;0,010601
27263;111,890598;;111,890598;111,89607;0,005472;;0,005415;-0,051613;-0,057028
27281;111,89607;;111,89607;111,896127;5,7E-05;;-0,051613;0,051457;0,10307
27282;111,896127;;111,896127;111,947797;0,05167;;0,051457;0,000186;-0,051271
27294;111,947797;;111,947797;111,94801;0,000213;;0,000186;-0,015073;-0,015259
27295;111,94801;;111,94801;111,948037;2,7E-05;;-0,015073;0,015062;0,030135
27296;111,948037;;111,948037;111,963137;0,0151;;0,015062;-0,039332;-0,054394
27299;111,963137;;111,963137;111,963175;3,8E-05;;-0,039332;0,039309;0,078641
27300;111,963175;;111,963175;112,002545;0,03937;;0,039309;-1,7E-05;-0,039326
27310;112,002545;;112,002545;112,002606;6,1E-05;;-1,7E-05;4,5E-05;6,2E-05
27311;112,002606;;112,002606;112,002684;7,8E-05;;4,5E-05;-0,000288;-0,000333
27312;112,002684;;112,002684;112,002717;3,3E-05;;-0,000288;0,00028;0,000568
27313;112,002717;;112,002717;112,003038;0,000321;;0,00028;-0,001486;-0,001766
27315;112,003038;;112,003038;112,003079;4,1E-05;;-0,001486;0,00148;0,002966
27316;112,003079;;112,003079;112,004606;0,001527;;0,00148;-0,010123;-0,011603
27317;112,004606;;112,004606;112,004653;4,7E-05;;-0,010123;0,010128;0,020251
27318;112,004653;;112,004653;112,014823;0,01017;;0,010128;-0,033826;-0,043954
27319;112,014823;;112,014823;112,014865;4,2E-05;;-0,033826;0,033828;0,067654
27320;112,014865;;112,014865;112,048733;0,033868;;0,033828;-0,016758;-0,050586
27329;112,048733;;112,048733;112,048773;4E-05;;-0,016758;0,016797;0,033555
27330;112,048773;;112,048773;112,065571;0,016798;;0,016797;1E-06;-0,016796
27332;112,065571;;112,065571;112,065572;1E-06;;1E-06;-1E-06;-2E-06
27333;112,065572;;112,065572;112,065572;0;;-1E-06;-6,6E-05;-6,5E-05
27334;112,065572;;112,065572;112,065573;1E-06;;-6,6E-05;2,4E-05;9E-05
27335;112,065573;;112,065573;112,06564;6,7E-05;;2,4E-05;2,5E-05;1E-06
27336;112,06564;;112,06564;112,065683;4,3E-05;;2,5E-05;1E-06;-2,4E-05
27337;112,065683;;112,065683;112,065701;1,8E-05;;1E-06;-0,059121;-0,059122
27338;112,065701;;112,065701;112,065718;1,7E-05;;-0,059121;0,059089;0,11821
27339;112,065718;;112,065718;112,124856;0,059138;;0,059089;-0,0049;-0,063989
27349;112,124856;;112,124856;112,124905;4,9E-05;;-0,0049;0,004948;0,009848
27350;112,124905;;112,124905;112,129854;0,004949;;0,004948;1E-06;-0,004947
27353;112,129854;;112,129854;112,129855;1E-06;;1E-06;-4,7E-05;-4,8E-05
27354;112,129855;;112,129855;112,129855;0;;-4,7E-05;-2E-06;4,5E-05
27355;112,129855;;112,129855;112,129902;4,7E-05;;-2E-06;3,8E-05;4E-05
27356;112,129902;;112,129902;112,129951;4,9E-05;;3,8E-05;-0,000193;-0,000231
27357;112,129951;;112,129951;112,129962;1,1E-05;;-0,000193;0,000179;0,000372
27358;112,129962;;112,129962;112,130166;0,000204;;0,000179;-0,000208;-0,000387
27359;112,130166;;112,130166;112,130191;2,5E-05;;-0,000208;0,000192;0,0004
27360;112,130191;;112,130191;112,130424;0,000233;;0,000192;-0,044224;-0,044416
27361;112,130424;;112,130424;112,130465;4,1E-05;;-0,044224;0,044215;0,088439
27362;112,130465;;112,130465;112,17473;0,044265;;0,044215;-0,01112;-0,055335
27369;112,17473;;112,17473;112,17478;5E-05;;-0,01112;0,011168;0,022288
27370;112,17478;;112,17478;112,18595;0,01117;;0,011168;2E-06;-0,011166
27372;112,18595;;112,18595;112,185952;2E-06;;2E-06;0;-2E-06
27373;112,185952;;112,185952;112,185952;0;;0;0;0
27374;112,185952;;112,185952;112,185952;0;;0;-7,9E-05;-7,9E-05
27375;112,185952;;112,185952;112,185952;0;;-7,9E-05;2,2E-05;0,000101
27376;112,185952;;112,185952;112,186031;7,9E-05;;2,2E-05;3,7E-05;1,5E-05
27377;112,186031;;112,186031;112,186088;5,7E-05;;3,7E-05;6E-06;-3,1E-05
27378;112,186088;;112,186088;112,186108;2E-05;;6E-06;-2E-06;-8E-06
27379;112,186108;;112,186108;112,186122;1,4E-05;;-2E-06;-0,000117;-0,000115
27380;112,186122;;112,186122;112,186138;1,6E-05;;-0,000117;0,000111;0,000228
27381;112,186138;;112,186138;112,186271;0,000133;;0,000111;-0,049653;-0,049764
27383;112,186271;;112,186271;112,186293;2,2E-05;;-0,049653;0,049673;0,099326
27384;112,186293;;112,186293;112,235968;0,049675;;0,049673;-0,000112;-0,049785
27394;112,235968;;112,235968;112,23597;2E-06;;-0,000112;3,2E-05;0,000144
27395;112,23597;;112,23597;112,236084;0,000114;;3,2E-05;-0,00556;-0,005592
27396;112,236084;;112,236084;112,236166;8,2E-05;;-0,00556;0,005622;0,011182
27397;112,236166;;112,236166;112,241808;0,005642;;0,005622;-0,218687;-0,224309
27401;112,241808;;112,241808;112,241828;2E-05;;-0,218687;-0,609011;-0,390324
27402;112,241828;;112,241828;112,460535;0,218707;;-0,609011;0,781365;1,390376
27469;112,460535;;112,460535;113,288253;0,827718;;0,781365;-0,015686;-0,797051
27749;113,288253;;113,288253;113,334606;0,046353;;-0,015686;0,061759;0,077445
27766;113,334606;;113,334606;113,396645;0,062039;;0,061759;0,000266;-0,061493
27775;113,396645;;113,396645;113,396925;0,00028;;0,000266;-0,047501;-0,047767
27776;113,396925;;113,396925;113,396939;1,4E-05;;-0,047501;0,047515;0,095016
27777;113,396939;;113,396939;113,444454;0,047515;;0,047515;-2E-06;-0,047517
27787;113,444454;;113,444454;113,444454;0;;-2E-06;-5,3E-05;-5,1E-05
27788;113,444454;;113,444454;113,444456;2E-06;;-5,3E-05;-0,028978;-0,028925
27789;113,444456;;113,444456;113,444511;5,5E-05;;-0,028978;-0,038183;-0,009205
27790;113,444511;;113,444511;113,473544;0,029033;;-0,038183;0,066648;0,104831
27796;113,473544;;113,473544;113,54076;0,067216;;0,066648;-0,065751;-0,132399
27831;113,54076;;113,54076;113,541328;0,000568;;-0,065751;0,066248;0,131999
27833;113,541328;;113,541328;113,607647;0,066319;;0,066248;-0,000251;-0,066499
27859;113,607647;;113,607647;113,607718;7,1E-05;;-0,000251;-0,071344;-0,071093
27860;113,607718;;113,607718;113,60804;0,000322;;-0,071344;-0,068264;0,00308
27861;113,60804;;113,60804;113,679706;0,071666;;-0,068264;0,135117;0,203381
27882;113,679706;;113,679706;113,819636;0,13993;;0,135117;0,004813;-0,130304
27924;113,819636;;113,819636;113,824449;0,004813;;0,004813;-4,5E-05;-0,004858
27929;113,824449;;113,824449;113,824449;0;;-4,5E-05;-9E-06;3,6E-05
27930;113,824449;;113,824449;113,824494;4,5E-05;;-9E-06;-0,002502;-0,002493
27931;113,824494;;113,824494;113,824548;5,4E-05;;-0,002502;-0,004976;-0,002474
27932;113,824548;;113,824548;113,827104;0,002556;;-0,004976;-0,042306;-0,03733
27933;113,827104;;113,827104;113,834636;0,007532;;-0,042306;0,020292;0,062598
27938;113,834636;;113,834636;113,884474;0,049838;;0,020292;0,0026;-0,017692
27943;113,884474;;113,884474;113,91402;0,029546;;0,0026;-0,015937;-0,018537
27952;113,91402;;113,91402;113,940966;0,026946;;-0,015937;0,041946;0,057883
27958;113,940966;;113,940966;113,983849;0,042883;;0,041946;-0,014012;-0,055958
27969;113,983849;;113,983849;113,984786;0,000937;;-0,014012;0,014841;0,028853
27973;113,984786;;113,984786;113,999735;0,014949;;0,014841;-0,000238;-0,015079
27983;113,999735;;113,999735;113,999843;0,000108;;-0,000238;-0,041364;-0,041126
27984;113,999843;;113,999843;114,000189;0,000346;;-0,041364;0,018567;0,059931
27986;114,000189;;114,000189;114,041899;0,04171;;0,018567;-0,027578;-0,046145
28004;114,041899;;114,041899;114,065042;0,023143;;-0,027578;0,006785;0,034363
28013;114,065042;;114,065042;114,115763;0,050721;;0,006785;-0,038551;-0,045336
28029;114,115763;;114,115763;114,159699;0,043936;;-0,038551;0,082487;0,121038
28037;114,159699;;114,159699;114,242186;0,082487;;0,082487;-0,000134;-0,082621
28052;114,242186;;114,242186;114,242186;0;;-0,000134;-0,000731;-0,000597
28053;114,242186;;114,242186;114,24232;0,000134;;-0,000731;0,000304;0,001035
28054;114,24232;;114,24232;114,243185;0,000865;;0,000304;-0,001382;-0,001686
28059;114,243185;;114,243185;114,243746;0,000561;;-0,001382;-0,048322;-0,04694
28060;114,243746;;114,243746;114,245689;0,001943;;-0,048322;0,04358;0,091902
28061;114,245689;;114,245689;114,295954;0,050265;;0,04358;0,00663;-0,03695
28065;114,295954;;114,295954;114,302639;0,006685;;0,00663;-0,000256;-0,006886
28072;114,302639;;114,302639;114,302694;5,5E-05;;-0,000256;-0,141486;-0,14123
28073;114,302694;;114,302694;114,303005;0,000311;;-0,141486;0,141797;0,283283
28075;114,303005;;114,303005;114,444802;0,141797;;0,141797;-0,001583;-0,14338
28090;114,444802;;114,444802;114,444802;0;;-0,001583;-0,001445;0,000138
28091;114,444802;;114,444802;114,446385;0,001583;;-0,001445;0,003028;0,004473
28096;114,446385;;114,446385;114,449413;0,003028;;0,003028;0;-0,003028
28100;114,449413;;114,449413;114,449413;0;;0;-0,000104;-0,000104
28101;114,449413;;114,449413;114,449413;0;;-0,000104;-0,002142;-0,002038
28102;114,449413;;114,449413;114,449517;0,000104;;-0,002142;-0,060304;-0,058162
28120;114,449517;;114,449517;114,451763;0,002246;;-0,060304;0,05218;0,112484
28132;114,451763;;114,451763;114,514313;0,06255;;0,05218;-0,05873;-0,11091
28134;114,514313;;114,514313;114,524683;0,01037;;-0,05873;0,068581;0,127311
28140;114,524683;;114,524683;114,593783;0,0691;;0,068581;6,5E-05;-0,068516
28143;114,593783;;114,593783;114,594302;0,000519;;6,5E-05;7,4E-05;9E-06
28148;114,594302;;114,594302;114,594756;0,000454;;7,4E-05;-0,039281;-0,039355
28149;114,594756;;114,594756;114,595136;0,00038;;-0,039281;-0,040739;-0,001458
28150;114,595136;;114,595136;114,634797;0,039661;;-0,040739;0,080399;0,121138
28152;114,634797;;114,634797;114,715197;0,0804;;0,080399;-0,00012;-0,080519
28160;114,715197;;114,715197;114,715198;1E-06;;-0,00012;-0,000273;-0,000153
28161;114,715198;;114,715198;114,715319;0,000121;;-0,000273;-0,001784;-0,001511
28163;114,715319;;114,715319;114,715713;0,000394;;-0,001784;-0,044931;-0,043147
28164;114,715713;;114,715713;114,717891;0,002178;;-0,044931;0,036797;0,081728
28165;114,717891;;114,717891;114,765;0,047109;;0,036797;-0,029467;-0,066264
28206;114,765;;114,765;114,775312;0,010312;;-0,029467;0,039778;0,069245
28212;114,775312;;114,775312;114,815091;0,039779;;0,039778;-2E-06;-0,03978
28218;114,815091;;114,815091;114,815092;1E-06;;-2E-06;-5,6E-05;-5,4E-05
28219;114,815092;;114,815092;114,815095;3E-06;;-5,6E-05;-0,00175;-0,001694
28225;114,815095;;114,815095;114,815154;5,9E-05;;-0,00175;-0,06647;-0,06472
28228;114,815154;;114,815154;114,816963;0,001809;;-0,06647;0,066692;0,133162
28231;114,816963;;114,816963;114,885242;0,068279;;0,066692;-0,00213;-0,068822
28258;114,885242;;114,885242;114,886829;0,001587;;-0,00213;-0,040682;-0,038552
28261;114,886829;;114,886829;114,890546;0,003717;;-0,040682;0,024639;0,065321
28262;114,890546;;114,890546;114,934945;0,044399;;0,024639;0,007375;-0,017264
28276;114,934945;;114,934945;114,954705;0,01976;;0,007375;-0,005456;-0,012831
28283;114,954705;;114,954705;114,96709;0,012385;;-0,005456;-0,012249;-0,006793
28286;114,96709;;114,96709;114,984931;0,017841;;-0,012249;-0,009845;0,002404
28289;114,984931;;114,984931;115,015021;0,03009;;-0,009845;0,039935;0,04978
28290;115,015021;;115,015021;115,054956;0,039935;;0,039935;-0,000105;-0,04004
28295;115,054956;;115,054956;115,054956;0;;-0,000105;-0,057646;-0,057541
28296;115,054956;;115,054956;115,055061;0,000105;;-0,057646;0,057334;0,11498
28297;115,055061;;115,055061;115,112812;0,057751;;0,057334;0,000386;-0,056948
28330;115,112812;;115,112812;115,113229;0,000417;;0,000386;-0,15612;-0,156506
28333;115,113229;;115,113229;115,11326;3,1E-05;;-0,15612;0,085781;0,241901
28334;115,11326;;115,11326;115,269411;0,156151;;0,085781;-0,006199;-0,09198
28375;115,269411;;115,269411;115,339781;0,07037;;-0,006199;0,076286;0,082485
28402;115,339781;;115,339781;115,41635;0,076569;;0,076286;-0,04308;-0,119366
28411;115,41635;;115,41635;115,416633;0,000283;;-0,04308;0,013568;0,056648
28416;115,416633;;115,416633;115,459996;0,043363;;0,013568;0,014937;0,001369
28438;115,459996;;115,459996;115,489791;0,029795;;0,014937;-0,033005;-0,047942
28447;115,489791;;115,489791;115,504649;0,014858;;-0,033005;-0,557786;-0,524781
28453;115,504649;;115,504649;115,552512;0,047863;;-0,557786;0,605582;1,163368
28476;115,552512;;115,552512;116,158161;0,605649;;0,605582;-0,008423;-0,614005
28717;116,158161;;116,158161;116,158228;6,7E-05;;-0,008423;-0,054322;-0,045899
28718;116,158228;;116,158228;116,166718;0,00849;;-0,054322;0,062812;0,117134
28720;116,166718;;116,166718;116,22953;0,062812;;0,062812;-0,31644;-0,379252
28748;116,22953;;116,22953;116,22953;0;;-0,31644;0,246385;0,562825
28749;116,22953;;116,22953;116,54597;0,31644;;0,246385;-0,001846;-0,248231
28864;116,54597;;116,54597;116,616025;0,070055;;-0,001846;0,071619;0,073465
28895;116,616025;;116,616025;116,687926;0,071901;;0,071619;-0,044305;-0,115924
28923;116,687926;;116,687926;116,688208;0,000282;;-0,044305;0,031143;0,075448
28924;116,688208;;116,688208;116,732795;0,044587;;0,031143;0,001632;-0,029511
28942;116,732795;;116,732795;116,746239;0,013444;;0,001632;-0,034579;-0,036211
28947;116,746239;;116,746239;116,758051;0,011812;;-0,034579;-0,138841;-0,104262
28954;116,758051;;116,758051;116,804442;0,046391;;-0,138841;0,140439;0,27928
28965;116,804442;;116,804442;116,989674;0,185232;;0,140439;-3,377225;-3,517664
29005;116,989674;;116,989674;117,034467;0,044793;;-3,377225;1,763617;5,140842
29016;117,034467;;117,034467;120,456485;3,422018;;1,763617;1,613772;-0,149845
30114;120,456485;;120,456485;122,114886;1,658401;;1,613772;0,044565;-1,569207
30594;122,114886;;122,114886;122,159515;0,044629;;0,044565;-0,000207;-0,044772
30609;122,159515;;122,159515;122,159579;6,4E-05;;-0,000207;-0,063954;-0,063747
30610;122,159579;;122,159579;122,15985;0,000271;;-0,063954;0,001106;0,06506
30611;122,15985;;122,15985;122,224075;0,064225;;0,001106;0,061944;0,060838
30642;122,224075;;122,224075;122,287194;0,063119;;0,061944;-0,055951;-0,117895
30669;122,287194;;122,287194;122,288369;0,001175;;-0,055951;0,055082;0,111033
30670;122,288369;;122,288369;122,345495;0,057126;;0,055082;-0,041028;-0,09611
30696;122,345495;;122,345495;122,347539;0,002044;;-0,041028;0,043072;0,0841
30700;122,347539;;122,347539;122,390611;0,043072;;0,043072;-5,5E-05;-0,043127
30708;122,390611;;122,390611;122,390611;0;;-5,5E-05;-0,003941;-0,003886
30709;122,390611;;122,390611;122,390666;5,5E-05;;-0,003941;0,003866;0,007807
30710;122,390666;;122,390666;122,394662;0,003996;;0,003866;8,7E-05;-0,003779
30712;122,394662;;122,394662;122,394792;0,00013;;8,7E-05;-0,000245;-0,000332
30714;122,394792;;122,394792;122,394835;4,3E-05;;-0,000245;-0,045136;-0,044891
30717;122,394835;;122,394835;122,395123;0,000288;;-0,045136;0,045424;0,09056
30720;122,395123;;122,395123;122,440547;0,045424;;0,045424;-7,8E-05;-0,045502
30734;122,440547;;122,440547;122,440547;0;;-7,8E-05;-0,00316;-0,003082
30735;122,440547;;122,440547;122,440625;7,8E-05;;-0,00316;-0,004908;-0,001748
30739;122,440625;;122,440625;122,443863;0,003238;;-0,004908;-0,040831;-0,035923
30741;122,443863;;122,443863;122,452009;0,008146;;-0,040831;0,048764;0,089595
30742;122,452009;;122,452009;122,500986;0,048977;;0,048764;0,000193;-0,048571
30761;122,500986;;122,500986;122,501199;0,000213;;0,000193;-0,008746;-0,008939
30762;122,501199;;122,501199;122,501219;2E-05;;-0,008746;-0,036052;-0,027306
30763;122,501219;;122,501219;122,509985;0,008766;;-0,036052;0,044816;0,080868
30770;122,509985;;122,509985;122,554803;0,044818;;0,044816;-5,2E-05;-0,044868
30782;122,554803;;122,554803;122,554805;2E-06;;-5,2E-05;-4,1E-05;1,1E-05
30785;122,554805;;122,554805;122,554859;5,4E-05;;-4,1E-05;-0,999682;-0,999641
30786;122,554859;;122,554859;122,554954;9,5E-05;;-0,999682;0,999775;1,999457
30788;122,554954;;122,554954;123,554731;0,999777;;0,999775;-7,8E-05;-0,999853
31158;123,554731;;123,554731;123,554733;2E-06;;-7,8E-05;1E-06;7,9E-05
31160;123,554733;;123,554733;123,554813;8E-05;;1E-06;-0,049581;-0,049582
31161;123,554813;;123,554813;123,554892;7,9E-05;;-0,049581;0,049609;0,09919
31162;123,554892;;123,554892;123,604552;0,04966;;0,049609;-0,008218;-0,057827
31176;123,604552;;123,604552;123,604603;5,1E-05;;-0,008218;0,008045;0,016263
31177;123,604603;;123,604603;123,612872;0,008269;;0,008045;5,1E-05;-0,007994
31178;123,612872;;123,612872;123,613096;0,000224;;5,1E-05;0,000131;8E-05
31179;123,613096;;123,613096;123,613269;0,000173;;0,000131;-0,061628;-0,061759
31180;123,613269;;123,613269;123,613311;4,2E-05;;-0,061628;0,043081;0,104709
31181;123,613311;;123,613311;123,674981;0,06167;;0,043081;0,002405;-0,040676
31190;123,674981;;123,674981;123,69357;0,018589;;0,002405;0,016183;0,013778
31192;123,69357;;123,69357;123,709754;0,016184;;0,016183;-5,4E-05;-0,016237
31193;123,709754;;123,709754;123,709755;1E-06;;-5,4E-05;-0,000222;-0,000168
31194;123,709755;;123,709755;123,70981;5,5E-05;;-0,000222;-0,003784;-0,003562
31195;123,70981;;123,70981;123,710087;0,000277;;-0,003784;-0,036235;-0,032451
31196;123,710087;;123,710087;123,714148;0,004061;;-0,036235;0,03942;0,075655
31197;123,714148;;123,714148;123,754444;0,040296;;0,03942;-0,002361;-0,041781
31224;123,754444;;123,754444;123,75532;0,000876;;-0,002361;-0,022851;-0,02049
31226;123,75532;;123,75532;123,758557;0,003237;;-0,022851;0,004711;0,027562
31227;123,758557;;123,758557;123,784645;0,026088;;0,004711;0,021376;0,016665
31236;123,784645;;123,784645;123,806022;0,021377;;0,021376;-8,2E-05;-0,021458
31244;123,806022;;123,806022;123,806023;1E-06;;-8,2E-05;3,5E-05;0,000117
31245;123,806023;;123,806023;123,806106;8,3E-05;;3,5E-05;-0,000122;-0,000157
31246;123,806106;;123,806106;123,806154;4,8E-05;;-0,000122;0,000153;0,000275
31247;123,806154;;123,806154;123,806324;0,00017;;0,000153;-0,073724;-0,073877
31248;123,806324;;123,806324;123,806341;1,7E-05;;-0,073724;0,062129;0,135853
31249;123,806341;;123,806341;123,880082;0,073741;;0,062129;-0,041241;-0,10337
31278;123,880082;;123,880082;123,891694;0,011612;;-0,041241;0,052853;0,094094
31283;123,891694;;123,891694;123,944547;0,052853;;0,052853;-2E-06;-0,052855
31300;123,944547;;123,944547;123,944547;0;;-2E-06;-5,6E-05;-5,4E-05
31301;123,944547;;123,944547;123,944549;2E-06;;-5,6E-05;9E-06;6,5E-05
31304;123,944549;;123,944549;123,944607;5,8E-05;;9E-06;-0,000521;-0,00053
31306;123,944607;;123,944607;123,944656;4,9E-05;;-0,000521;8,6E-05;0,000607
31307;123,944656;;123,944656;123,945226;0,00057;;8,6E-05;0,000382;0,000296
31308;123,945226;;123,945226;123,94571;0,000484;;0,000382;-0,00083;-0,001212
31309;123,94571;;123,94571;123,945812;0,000102;;-0,00083;0,000855;0,001685
31311;123,945812;;123,945812;123,946744;0,000932;;0,000855;-0,000326;-0,001181
31314;123,946744;;123,946744;123,946821;7,7E-05;;-0,000326;0,000132;0,000458
31315;123,946821;;123,946821;123,947224;0,000403;;0,000132;7,8E-05;-5,4E-05
31317;123,947224;;123,947224;123,947495;0,000271;;7,8E-05;-0,064157;-0,064235
31318;123,947495;;123,947495;123,947688;0,000193;;-0,064157;0,053585;0,117742
31319;123,947688;;123,947688;124,012038;0,06435;;0,053585;0,010764;-0,042821
31334;124,012038;;124,012038;124,022803;0,010765;;0,010764;-7,7E-05;-0,010841
31337;124,022803;;124,022803;124,022804;1E-06;;-7,7E-05;-0,002007;-0,00193
31338;124,022804;;124,022804;124,022882;7,8E-05;;-0,002007;0,002082;0,004089
31339;124,022882;;124,022882;124,024967;0,002085;;0,002082;-3,8E-05;-0,00212
31341;124,024967;;124,024967;124,02497;3E-06;;-3,8E-05;-3,2E-05;6E-06
31345;124,02497;;124,02497;124,025011;4,1E-05;;-3,2E-05;-0,008029;-0,007997
31346;124,025011;;124,025011;124,025084;7,3E-05;;-0,008029;-0,00063;0,007399
31347;124,025084;;124,025084;124,033186;0,008102;;-0,00063;0,008695;0,009325
31348;124,033186;;124,033186;124,041918;0,008732;;0,008695;-2,9E-05;-0,008724
31353;124,041918;;124,041918;124,041955;3,7E-05;;-2,9E-05;-0,005261;-0,005232
31354;124,041955;;124,041955;124,042021;6,6E-05;;-0,005261;0,005285;0,010546
31355;124,042021;;124,042021;124,047348;0,005327;;0,005285;-1,7E-05;-0,005302
31359;124,047348;;124,047348;124,04739;4,2E-05;;-1,7E-05;4,4E-05;6,1E-05
31360;124,04739;;124,04739;124,047449;5,9E-05;;4,4E-05;-2,4E-05;-6,8E-05
31361;124,047449;;124,047449;124,047464;1,5E-05;;-2,4E-05;-0,005022;-0,004998
31362;124,047464;;124,047464;124,047503;3,9E-05;;-0,005022;0,004916;0,009938
31363;124,047503;;124,047503;124,052564;0,005061;;0,004916;-0,030878;-0,035794
31364;124,052564;;124,052564;124,052709;0,000145;;-0,030878;0,030895;0,061773
31365;124,052709;;124,052709;124,083732;0,031023;;0,030895;-0,020894;-0,051789
31377;124,083732;;124,083732;124,08386;0,000128;;-0,020894;0,021022;0,041916
31378;124,08386;;124,08386;124,104882;0,021022;;0,021022;-0,0028;-0,023822
31382;124,104882;;124,104882;124,104882;0;;-0,0028;0,002693;0,005493
31383;124,104882;;124,104882;124,107682;0,0028;;0,002693;-1,6E-05;-0,002709
31384;124,107682;;124,107682;124,107789;0,000107;;-1,6E-05;-0,012311;-0,012295
31385;124,107789;;124,107789;124,107912;0,000123;;-0,012311;0,012434;0,024745
31386;124,107912;;124,107912;124,120346;0,012434;;0,012434;-4,8E-05;-0,012482
31387;124,120346;;124,120346;124,120346;0;;-4,8E-05;-8,4E-05;-3,6E-05
31388;124,120346;;124,120346;124,120394;4,8E-05;;-8,4E-05;0,000131;0,000215
31389;124,120394;;124,120394;124,120526;0,000132;;0,000131;-2,6E-05;-0,000157
31390;124,120526;;124,120526;124,120527;1E-06;;-2,6E-05;-0,001946;-0,00192
31391;124,120527;;124,120527;124,120554;2,7E-05;;-0,001946;0,001941;0,003887
31392;124,120554;;124,120554;124,122527;0,001973;;0,001941;-0,000269;-0,00221
31393;124,122527;;124,122527;124,122559;3,2E-05;;-0,000269;-0,003299;-0,00303
31394;124,122559;;124,122559;124,12286;0,000301;;-0,003299;0,003549;0,006848
31395;124,12286;;124,12286;124,12646;0,0036;;0,003549;-0,057929;-0,061478
31396;124,12646;;124,12646;124,126511;5,1E-05;;-0,057929;0,057939;0,115868
31398;124,126511;;124,126511;124,184491;0,05798;;0,057939;-0,01423;-0,072169
31410;124,184491;;124,184491;124,184532;4,1E-05;;-0,01423;0,01427;0,0285
31411;124,184532;;124,184532;124,198803;0,014271;;0,01427;1E-06;-0,014269
31412;124,198803;;124,198803;124,198804;1E-06;;1E-06;0;-1E-06
31413;124,198804;;124,198804;124,198804;0;;0;-6,2E-05;-6,2E-05
31414;124,198804;;124,198804;124,198804;0;;-6,2E-05;-0,003453;-0,003391
31415;124,198804;;124,198804;124,198866;6,2E-05;;-0,003453;-0,02827;-0,024817
31416;124,198866;;124,198866;124,202381;0,003515;;-0,02827;0,031739;0,060009
31417;124,202381;;124,202381;124,234166;0,031785;;0,031739;-6,4E-05;-0,031803
31439;124,234166;;124,234166;124,234212;4,6E-05;;-6,4E-05;8,9E-05;0,000153
31440;124,234212;;124,234212;124,234322;0,00011;;8,9E-05;-0,017435;-0,017524
31441;124,234322;;124,234322;124,234343;2,1E-05;;-0,017435;0,017315;0,03475
31442;124,234343;;124,234343;124,251799;0,017456;;0,017315;-2,8E-05;-0,017343
31448;124,251799;;124,251799;124,25194;0,000141;;-2,8E-05;0,000132;0,00016
31449;124,25194;;124,25194;124,252109;0,000169;;0,000132;-5,4E-05;-0,000186
31450;124,252109;;124,252109;124,252146;3,7E-05;;-5,4E-05;6,5E-05;0,000119
31451;124,252146;;124,252146;124,252237;9,1E-05;;6,5E-05;-0,012391;-0,012456
31452;124,252237;;124,252237;124,252263;2,6E-05;;-0,012391;0,012417;0,024808
31453;124,252263;;124,252263;124,26468;0,012417;;0,012417;-4,1E-05;-0,012458
31460;124,26468;;124,26468;124,26468;0;;-4,1E-05;-0,011994;-0,011953
31461;124,26468;;124,26468;124,264721;4,1E-05;;-0,011994;0,01196;0,023954
31462;124,264721;;124,264721;124,276756;0,012035;;0,01196;-0,017294;-0,029254
31467;124,276756;;124,276756;124,276831;7,5E-05;;-0,017294;0,017368;0,034662
31468;124,276831;;124,276831;124,2942;0,017369;;0,017368;1E-06;-0,017367
31473;124,2942;;124,2942;124,294201;1E-06;;1E-06;-5,8E-05;-5,9E-05
31474;124,294201;;124,294201;124,294201;0;;-5,8E-05;5E-06;6,3E-05
31475;124,294201;;124,294201;124,294259;5,8E-05;;5E-06;-0,01033;-0,010335
31476;124,294259;;124,294259;124,294312;5,3E-05;;-0,01033;0,010329;0,020659
31477;124,294312;;124,294312;124,304695;0,010383;;0,010329;-0,016373;-0,026702
31478;124,304695;;124,304695;124,304749;5,4E-05;;-0,016373;0,016427;0,0328
31480;124,304749;;124,304749;124,321176;0,016427;;0,016427;-4,5E-05;-0,016472
31482;124,321176;;124,321176;124,321176;0;;-4,5E-05;-0,003839;-0,003794
31483;124,321176;;124,321176;124,321221;4,5E-05;;-0,003839;0,003883;0,007722
31484;124,321221;;124,321221;124,325105;0,003884;;0,003883;-4,5E-05;-0,003928
31485;124,325105;;124,325105;124,325106;1E-06;;-4,5E-05;-0,001843;-0,001798
31486;124,325106;;124,325106;124,325152;4,6E-05;;-0,001843;0,001853;0,003696
31487;124,325152;;124,325152;124,327041;0,001889;;0,001853;-0,005696;-0,007549
